Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue_Capacity,Tour_ID,Venue_ID,Album_Name,Latitude,Longitude
2023-04-28,Atlanta,United States,Mercedes-Benz Stadium,Beabadoobee Gracie Abrams,70000.0,,70000.0,6,126,nan,33.755489,-84.401993
2023-04-29,Atlanta,United States,Mercedes-Benz Stadium,Beabadoobee Gracie Abrams,70000.0,,70000.0,6,126,nan,33.755489,-84.401993
2023-04-30,Atlanta,United States,Mercedes-Benz Stadium,Muna Gayle,70000.0,,70000.0,6,126,nan,33.755489,-84.401993
2023-05-05,Nashville,United States,Nissan Stadium,Phoebe Bridgers Gracie Abrams,71000.0,,71000.0,6,144,nan,36.166479,-86.7712898
2023-05-06,Nashville,United States,Nissan Stadium,Phoebe Bridgers Gayle,71000.0,,71000.0,6,144,nan,36.166479,-86.7712898
2023-05-07,Nashville,United States,Nissan Stadium,—,71000.0,,71000.0,6,144,nan,36.166479,-86.7712898
2023-05-12,Philadelphia,United States,Lincoln Financial Field,Phoebe Bridgers Gayle,67567.0,,67567.0,6,111,nan,39.900898,-75.168098
2023-05-13,Philadelphia,United States,Lincoln Financial Field,Phoebe Bridgers Gayle,67567.0,,67567.0,6,111,nan,39.900898,-75.168098
2023-05-14,Philadelphia,United States,Lincoln Financial Field,Phoebe Bridgers Gracie Abrams,67566.0,,67566.0,6,111,nan,39.900898,-75.168098
2023-05-19,Foxborough,United States,Gillette Stadium,Phoebe Bridgers Gayle,66667.0,,66667.0,6,88,nan,42.0878,-71.2587
2023-05-20,Foxborough,United States,Gillette Stadium,Phoebe Bridgers Gayle,66667.0,,66667.0,6,88,nan,42.0878,-71.2587
2023-05-21,Foxborough,United States,Gillette Stadium,Phoebe Bridgers Gracie Abrams,66666.0,,66666.0,6,88,nan,42.0878,-71.2587
2023-05-26,East Rutherford,United States,Metlife Stadium,Phoebe Bridgers Gayle,72545.0,,72545.0,6,129,nan,40.813778,-74.07431
2023-05-27,East Rutherford,United States,Metlife Stadium,Phoebe Bridgers Gracie Abrams,72545.0,,72545.0,6,129,nan,40.813778,-74.07431
2023-05-28,East Rutherford,United States,Metlife Stadium,Phoebe Bridgers Owenn,72545.0,,72545.0,6,129,nan,40.813778,-74.07431
2023-06-02,Chicago,United States,Soldier Field,Girl in Red Owenn,50000.0,,50000.0,6,192,nan,41.862366,-87.617256
2023-06-03,Chicago,United States,Soldier Field,Girl in Red Owenn,50000.0,,50000.0,6,192,nan,41.862366,-87.617256
2023-06-04,Chicago,United States,Soldier Field,Muna Gracie Abrams,50000.0,,50000.0,6,192,nan,41.862366,-87.617256
2023-06-09,Detroit,United States,Ford Field,Girl in Red Gracie Abrams,59331.0,,59331.0,6,79,nan,42.340115,-83.046341
2023-06-10,Detroit,United States,Ford Field,Girl in Red Owenn,59330.0,,59330.0,6,79,nan,42.340115,-83.046341
2023-06-16,Pittsburgh,United States,Acrisure Stadium,Girl in Red Gracie Abrams,73117.0,,73117.0,6,5,nan,40.4469,-80.0158
2023-06-17,Pittsburgh,United States,Acrisure Stadium,Girl in Red Owenn,73117.0,,73117.0,6,5,nan,40.4469,-80.0158
2023-06-23,Minneapolis,United States,U.S. Bank Stadium,Girl in Red Gracie Abrams,64453.0,,64453.0,6,217,nan,44.9737,-93.257
2023-06-24,Minneapolis,United States,U.S. Bank Stadium,Girl in Red Owenn,64453.0,,64453.0,6,217,nan,44.9737,-93.257
2023-06-30,Cincinnati,United States,Paycor Stadium,Muna Gracie Abrams,65000.0,,65000.0,6,158,nan,39.0955,-84.5161
2023-07-01,Cincinnati,United States,Paycor Stadium,Muna,65000.0,,65000.0,6,158,nan,39.0955,-84.5161
2023-07-07,Kansas City,United States,Geha Field At Arrowhead Stadium,Muna Gracie Abrams,55000.0,,55000.0,6,85,nan,39.049,-94.4839
2023-07-08,Kansas City,United States,Geha Field At Arrowhead Stadium,Muna Gracie Abrams,55000.0,,55000.0,6,85,nan,39.049,-94.4839
2023-07-14,Denver,United States,Empower Field At Mile High,Muna Gracie Abrams,75000.0,,75000.0,6,63,nan,39.7439,-105.0201
2023-07-15,Denver,United States,Empower Field At Mile High,Muna Gracie Abrams,75000.0,,75000.0,6,63,nan,39.7439,-105.0201
2023-07-22,Seattle,United States,Lumen Field,Haim Gracie Abrams,72171.0,,72171.0,6,114,nan,47.5952,-122.3316
2023-07-23,Seattle,United States,Lumen Field,Haim Gracie Abrams,72171.0,,72171.0,6,114,nan,47.5952,-122.3316
2023-07-28,Santa Clara,United States,Levi'S Stadium,Haim Gracie Abrams,70000.0,,70000.0,6,109,nan,37.403,-121.97
2023-07-29,Santa Clara,United States,Levi'S Stadium,Haim Gracie Abrams,70000.0,,70000.0,6,109,nan,37.403,-121.97
2023-08-03,Inglewood,United States,Sofi Stadium,Haim Gracie Abrams,70000.0,,70000.0,6,191,nan,33.9535,-118.3392
2023-08-04,Inglewood,United States,Sofi Stadium,Haim Owenn,70000.0,,70000.0,6,191,nan,33.9535,-118.3392
2023-08-05,Inglewood,United States,Sofi Stadium,Haim Gayle,70000.0,,70000.0,6,191,nan,33.9535,-118.3392
2023-08-07,Inglewood,United States,Sofi Stadium,Haim Gracie Abrams,70000.0,,70000.0,6,191,nan,33.9535,-118.3392
2023-08-08,Inglewood,United States,Sofi Stadium,Haim Gracie Abrams,70000.0,,70000.0,6,191,nan,33.9535,-118.3392
2023-08-09,Inglewood,United States,Sofi Stadium,Haim Gayle,70000.0,,70000.0,6,191,nan,33.9535,-118.3392
2023-08-24,Mexico City,Mexico,Foro Sol,Sabrina Carpenter,45000.0,,45000.0,6,81,nan,19.4042,-99.0907
2023-08-25,Mexico City,Mexico,Foro Sol,Sabrina Carpenter,45000.0,,45000.0,6,81,nan,19.4042,-99.0907
2023-08-26,Mexico City,Mexico,Foro Sol,Sabrina Carpenter,45000.0,,45000.0,6,81,nan,19.4042,-99.0907
2023-08-27,Mexico City,Mexico,Foro Sol,Sabrina Carpenter,45000.0,,45000.0,6,81,nan,19.4042,-99.0907
2023-11-09,Buenos Aires,Argentina,Estadio River Plate,Sabrina Carpenter Louta,73334.0,,73334.0,6,65,nan,-34.5455,-58.4494
2023-11-11,Buenos Aires,Argentina,Estadio River Plate,Sabrina Carpenter Louta,73333.0,,73333.0,6,65,nan,-34.5455,-58.4494
2023-11-12,Buenos Aires,Argentina,Estadio River Plate,Sabrina Carpenter Louta,73333.0,,73333.0,6,65,nan,-34.5455,-58.4494
2023-11-17,Rio De Janeiro,Brazil,Estádio Olímpico Nilton Santos,Sabrina Carpenter,60000.0,,60000.0,6,68,nan,,
2023-11-19,Rio De Janeiro,Brazil,Estádio Olímpico Nilton Santos,Sabrina Carpenter,60000.0,,60000.0,6,68,nan,,
2023-11-20,Rio De Janeiro,Brazil,Estádio Olímpico Nilton Santos,Sabrina Carpenter,60000.0,,60000.0,6,68,nan,,
2023-11-24,São Paulo,Brazil,Allianz Parque,Sabrina Carpenter,50000.0,,50000.0,6,9,nan,-23.5273,-46.678
2023-11-25,São Paulo,Brazil,Allianz Parque,Sabrina Carpenter,50000.0,,50000.0,6,9,nan,-23.5273,-46.678
2023-11-26,São Paulo,Brazil,Allianz Parque,Sabrina Carpenter,50000.0,,50000.0,6,9,nan,-23.5273,-46.678
2024-02-07,Tokyo,Japan,Tokyo Dome,—,55000.0,,55000.0,6,213,nan,35.7056,139.7519
2024-02-08,Tokyo,Japan,Tokyo Dome,—,55000.0,,55000.0,6,213,nan,35.7056,139.7519
2024-02-09,Tokyo,Japan,Tokyo Dome,—,55000.0,,55000.0,6,213,nan,35.7056,139.7519
2024-02-10,Tokyo,Japan,Tokyo Dome,—,55000.0,,55000.0,6,213,nan,35.7056,139.7519
2024-02-16,Melbourne,Australia,Melbourne Cricket Ground,Sabrina Carpenter,96000.0,,96000.0,6,123,nan,,
2024-02-17,Melbourne,Australia,Melbourne Cricket Ground,Sabrina Carpenter,96000.0,,96000.0,6,123,nan,,
2024-02-18,Melbourne,Australia,Melbourne Cricket Ground,Sabrina Carpenter,96000.0,,96000.0,6,123,nan,,
2024-02-23,Sydney,Australia,Accor Stadium,—,80000.0,,80000.0,6,3,nan,-33.8474,151.0631
2024-02-24,Sydney,Australia,Accor Stadium,Sabrina Carpenter,80000.0,,80000.0,6,3,nan,-33.8474,151.0631
2024-02-25,Sydney,Australia,Accor Stadium,Sabrina Carpenter,80000.0,,80000.0,6,3,nan,-33.8474,151.0631
2024-02-26,Sydney,Australia,Accor Stadium,Sabrina Carpenter,80000.0,,80000.0,6,3,nan,-33.8474,151.0631
2024-03-02,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,63000.0,,63000.0,6,188,nan,,
2024-03-03,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,63000.0,,63000.0,6,188,nan,,
2024-03-04,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,63000.0,,63000.0,6,188,nan,,
2024-03-07,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,63000.0,,63000.0,6,188,nan,,
2024-03-08,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,63000.0,,63000.0,6,188,nan,,
2024-03-09,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,63000.0,,63000.0,6,188,nan,,
2024-05-09,Nanterre,France,Paris La Défense Arena,Paramore,45000.0,,45000.0,7,157,nan,,
2024-05-10,Nanterre,France,Paris La Défense Arena,Paramore,45000.0,,45000.0,7,157,nan,,
2024-05-11,Nanterre,France,Paris La Défense Arena,Paramore,45000.0,,45000.0,7,157,nan,,
2024-05-12,Nanterre,France,Paris La Défense Arena,Paramore,45000.0,,45000.0,7,157,nan,,
2024-05-17,Stockholm,Sweden,Friends Arena,Paramore,59560.0,,59560.0,7,84,nan,59.3728,18.0006
2024-05-18,Stockholm,Sweden,Friends Arena,Paramore,59560.0,,59560.0,7,84,nan,59.3728,18.0006
2024-05-19,Stockholm,Sweden,Friends Arena,Paramore,59559.0,,59559.0,7,84,nan,59.3728,18.0006
2024-05-24,Lisbon,Portugal,Estádio Da Luz,Paramore,60000.0,,60000.0,7,67,nan,,
2024-05-25,Lisbon,Portugal,Estádio Da Luz,Paramore,60000.0,,60000.0,7,67,nan,,
2024-05-29,Madrid,Spain,Estadio Santiago Bernabéu,Paramore,65000.0,,65000.0,7,66,nan,,
2024-05-30,Madrid,Spain,Estadio Santiago Bernabéu,Paramore,65000.0,,65000.0,7,66,nan,,
2024-06-02,Décines-Charpieu,France,Groupama Stadium,Paramore,61000.0,,61000.0,7,90,nan,45.7652,4.9827
2024-06-03,Décines-Charpieu,France,Groupama Stadium,Paramore,61000.0,,61000.0,7,90,nan,45.7652,4.9827
2024-06-07,Edinburgh,Scotland,Murrayfield Stadium,Paramore,73000.0,,73000.0,7,136,nan,,
2024-06-08,Edinburgh,Scotland,Murrayfield Stadium,Paramore,73000.0,,73000.0,7,136,nan,,
2024-06-09,Edinburgh,Scotland,Murrayfield Stadium,Paramore,73000.0,,73000.0,7,136,nan,,
2024-06-13,Liverpool,England,Anfield,Paramore,62000.0,,62000.0,7,19,nan,,
2024-06-14,Liverpool,England,Anfield,Paramore,62000.0,,62000.0,7,19,nan,,
2024-06-15,Liverpool,England,Anfield,Paramore,62000.0,,62000.0,7,19,nan,,
2024-06-18,Cardiff,Wales,Principality Stadium,Paramore,70000.0,,70000.0,7,166,nan,51.4782,-3.1827
2024-06-21,London,England,Wembley Stadium,Paramore Mette,94139.0,,94139.0,7,232,nan,51.556,-0.2796
2024-06-22,London,England,Wembley Stadium,Paramore Griff,94139.0,,94139.0,7,232,nan,51.556,-0.2796
2024-06-23,London,England,Wembley Stadium,Paramore Benson Boone,94139.0,,94139.0,7,232,nan,51.556,-0.2796
2024-06-28,Dublin,Ireland,Aviva Stadium,Paramore,50000.0,,50000.0,7,26,nan,53.3351,-6.2285
2024-06-29,Dublin,Ireland,Aviva Stadium,Paramore,50000.0,,50000.0,7,26,nan,53.3351,-6.2285
2024-06-30,Dublin,Ireland,Aviva Stadium,Paramore,50000.0,,50000.0,7,26,nan,53.3351,-6.2285
2024-07-04,Amsterdam,Netherlands,Johan Cruyff Arena,Paramore,55000.0,,55000.0,7,102,nan,,
2024-07-05,Amsterdam,Netherlands,Johan Cruyff Arena,Paramore,55000.0,,55000.0,7,102,nan,,
2024-07-06,Amsterdam,Netherlands,Johan Cruyff Arena,Paramore,55000.0,,55000.0,7,102,nan,,
2024-07-09,Zürich,Switzerland,Letzigrund,Paramore,47500.0,,47500.0,7,108,nan,,
2024-07-10,Zürich,Switzerland,Letzigrund,Paramore,47500.0,,47500.0,7,108,nan,,
2024-07-13,Milan,Italy,San Siro,Paramore,80000.0,,80000.0,7,182,nan,,
2024-07-14,Milan,Italy,San Siro,Paramore,80000.0,,80000.0,7,182,nan,,
2024-07-17,Gelsenkirchen,Germany,Veltins-Arena,Paramore,60000.0,,60000.0,7,224,nan,51.5545,7.0675
2024-07-18,Gelsenkirchen,Germany,Veltins-Arena,Paramore,60000.0,,60000.0,7,224,nan,51.5545,7.0675
2024-07-19,Gelsenkirchen,Germany,Veltins-Arena,Paramore,60000.0,,60000.0,7,224,nan,51.5545,7.0675
2024-07-23,Hamburg,Germany,Volksparkstadion,Paramore,50000.0,,50000.0,7,227,nan,53.5875,9.8986
2024-07-24,Hamburg,Germany,Volksparkstadion,Paramore,50000.0,,50000.0,7,227,nan,53.5875,9.8986
2024-07-27,Munich,Germany,Olympiastadion,Paramore,74000.0,,74000.0,7,151,nan,48.1731,11.5466
2024-07-28,Munich,Germany,Olympiastadion,Paramore,74000.0,,74000.0,7,151,nan,48.1731,11.5466
2024-08-01,Warsaw,Poland,Pge Narodowy,Paramore,65000.0,,65000.0,7,162,nan,52.2394,21.0458
2024-08-02,Warsaw,Poland,Pge Narodowy,Paramore,65000.0,,65000.0,7,162,nan,52.2394,21.0458
2024-08-03,Warsaw,Poland,Pge Narodowy,Paramore,65000.0,,65000.0,7,162,nan,52.2394,21.0458
2024-08-15,London,England,Wembley Stadium,Paramore  Sofia Isella,94139.0,,94139.0,7,232,nan,51.556,-0.2796
2024-08-16,London,England,Wembley Stadium,Paramore  Holly Humberstone,94139.0,,94139.0,7,232,nan,51.556,-0.2796
2024-08-17,London,England,Wembley Stadium,Paramore  Suki Waterhouse,94139.0,,94139.0,7,232,nan,51.556,-0.2796
2024-08-19,London,England,Wembley Stadium,Paramore  Maisie Peters,94139.0,,94139.0,7,232,nan,51.556,-0.2796
2024-08-20,London,England,Wembley Stadium,Paramore  Raye,94139.0,,94139.0,7,232,nan,51.556,-0.2796
2024-10-18,Miami Gardens,United States,Hard Rock Stadium,Gracie Abrams,61000.0,,61000.0,7,91,nan,25.958,-80.2389
2024-10-19,Miami Gardens,United States,Hard Rock Stadium,Gracie Abrams,61000.0,,61000.0,7,91,nan,25.958,-80.2389
2024-10-20,Miami Gardens,United States,Hard Rock Stadium,Gracie Abrams,61000.0,,61000.0,7,91,nan,25.958,-80.2389
2024-10-25,New Orleans,United States,Caesars Superdome,Gracie Abrams,65000.0,,65000.0,7,44,nan,,
2024-10-26,New Orleans,United States,Caesars Superdome,Gracie Abrams,65000.0,,65000.0,7,44,nan,,
2024-10-27,New Orleans,United States,Caesars Superdome,Gracie Abrams,65000.0,,65000.0,7,44,nan,,
2024-11-01,Indianapolis,United States,Lucas Oil Stadium,Gracie Abrams,69000.0,,69000.0,7,113,nan,39.7601,-86.1639
2024-11-02,Indianapolis,United States,Lucas Oil Stadium,Gracie Abrams,69000.0,,69000.0,7,113,nan,39.7601,-86.1639
2024-11-03,Indianapolis,United States,Lucas Oil Stadium,Gracie Abrams,69000.0,,69000.0,7,113,nan,39.7601,-86.1639
2024-11-14,Toronto,Canada,Rogers Centre,Gracie Abrams,47870.0,,47870.0,7,177,nan,,
2024-11-15,Toronto,Canada,Rogers Centre,Gracie Abrams,47870.0,,47870.0,7,177,nan,,
2024-11-16,Toronto,Canada,Rogers Centre,Gracie Abrams,47870.0,,47870.0,7,177,nan,,
2024-11-21,Toronto,Canada,Rogers Centre,Gracie Abrams,47870.0,,47870.0,7,177,nan,,
2024-11-22,Toronto,Canada,Rogers Centre,Gracie Abrams,47870.0,,47870.0,7,177,nan,,
2024-11-23,Toronto,Canada,Rogers Centre,Gracie Abrams,47870.0,,47870.0,7,177,nan,,
2024-12-06,Vancouver,Canada,Bc Place,Gracie Abrams,53334.0,,53334.0,7,31,nan,49.2768,-123.1116
2024-12-07,Vancouver,Canada,Bc Place,Gracie Abrams,53333.0,,53333.0,7,31,nan,49.2768,-123.1116
2024-12-08,Vancouver,Canada,Bc Place,Gracie Abrams,53333.0,,53333.0,7,31,nan,49.2768,-123.1116
,Total,Total,Total,Total,10168008.0,,,7,0,nan,,
